CNUC;N_REFERENCIA;UNIDADE;ACAO_MANEJO;INSTRUMENTO;APOIO;NOTA_INSUMO;ORDEM;NOTA_PESSOAL;NOTA_EQUIPAMENTO;NOTA_CAPACIDADE;NOTA_RECURSO;NOTA_APOIO;BIOMA
0000.26.1928;114200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Implantar o Conselho Gestor;PLANO DE MANEJO;Pouco apoio externo;0,600224;6;0,5;0,5;0,5;0,75;0,75;Mata Atlântica
0000.26.1928;115200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Implantar o manejo de espécies ou habitats;PLANO DE MANEJO;Moderado apoio externo;0,600149;10;0,5;0,75;0,5;0,75;0,5;Mata Atlântica
0000.26.1928;116200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Elaborar e distribuir os materiais de comunicação;PLANO DE MANEJO;Moderado apoio externo;0,550188;12;0,5;0,5;0,5;0,75;0,5;Mata Atlântica
0000.26.1928;117200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Atender as demandas de cidadãos realizadas por meio dos sistemas corporativos;PLANO DE MANEJO;Pouco apoio externo;0,650222;3;0,5;0,75;0,5;0,75;0,75;Mata Atlântica
0000.26.1928;118200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Monitorar o Plano de Manejo;PLANO DE MANEJO;Moderado apoio externo;0,550225;11;0,25;0,75;0,5;0,75;0,5;Mata Atlântica
0000.00.0001;101200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Avaliar a gestão da unidade de conservação;PLANEJAMENTO ESTRATÉGICO;Não foi necessário apoio externo;1,000129;4;1;1;1;1;0;Marinho
0000.00.0001;102200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Realizar a fiscalização;PLANO DE MANEJO;Moderado apoio externo;0,700139;13;0,75;0,75;0,75;0,75;0,5;Marinho
0000.00.0001;103200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Avaliar impactos ambientais em processo de licenciamento ambiental;PLANO DE MANEJO;Não foi necessário apoio externo;0,850151;7;0,75;0,75;1;0,75;0;Marinho
0000.00.0001;104200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Realizar a fiscalização;PLANO DE MANEJO;Não foi necessário apoio externo;0,800139;9;0,75;0,75;0,75;0,75;0;Marinho
0000.00.0001;105200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Avaliar e monitorar o Conselho Gestor;PLANO DE MANEJO;Moderado apoio externo;0,8002;8;0,75;0,75;1;1;0,5;Marinho
0000.00.0001;106200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Monitorar a Visitação;PLANO DE MANEJO;Não foi necessário apoio externo;0,900195;5;0,75;0,75;1;1;0;Marinho
0000.00.0001;107200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Elaborar e acompanhar parcerias para a gestão da UC;TERMO DE COMPROMISSO - ACORDO DE GESTÃO;Muito apoio externo;0,600223;15;0,75;0,5;1;0,5;0,25;Marinho
0000.00.0001;108200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Planejar e Ordenar o Uso Público;PLANO DE MANEJO;Pouco apoio externo;0,650135;14;0,5;0,75;0,75;0,5;0,75;Marinho
0000.00.0001;109200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Elaborar Programa/Plano de Educação Ambiental;PLANO DE MANEJO;Moderado apoio externo;0,70016;10;0,75;0,75;1;0,5;0,5;Marinho
0000.00.0001;110200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Realizar a fiscalização;NÃO PLANEJADA;Moderado apoio externo;0,700139;12;0,75;0,75;0,75;0,75;0,5;Marinho
0000.00.0001;111200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Realizar a fiscalização;PLANO DE MANEJO;Moderado apoio externo;0,700139;11;0,75;0,75;0,75;0,75;0,5;Marinho
0000.00.0001;112200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Gerir atividades de pesquisa e gestão do conhecimento;PLANO DE PESQUISA;Não foi necessário apoio externo;0,850156;6;0,75;0,75;1;0,75;0;Marinho
0000.00.0001;113200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Gerir atividades de pesquisa e gestão do conhecimento;OUTRO INSTRUMENTO;Não foi necessário apoio externo;1,000156;3;1;1;1;1;0;Marinho
0000.00.0001;114200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Manter a rotina administrativa;OUTRO INSTRUMENTO;Não foi necessário apoio externo;1,000189;2;1;1;1;1;0;Marinho
0000.00.0001;115200000000001 ;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Implantar o Conselho Gestor;PLANO DE MANEJO;Não foi necessário apoio externo;1,000224;1;1;1;1;1;0;Marinho
0000.29.0321;101200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Elaborar Programa/Plano de Educação Ambiental;PLANO DE AÇÃO;Moderado apoio externo;0,65016;5;0,75;0,75;0,75;0,5;0,5;Mata Atlântica
0000.29.0321;102200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Avaliar impactos ambientais em processo de licenciamento ambiental;PLANO DE AÇÃO;Pouco apoio externo;0,750151;2;0,5;0,75;0,75;1;0,75;Mata Atlântica
0000.29.0321;103200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Implantar ações de Educação Ambiental;PLANO DE AÇÃO;Muito apoio externo;0,600207;7;0,25;1;1;0,5;0,25;Mata Atlântica
0000.29.0321;104200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Manter a rotina administrativa;PLANO DE AÇÃO;Muito apoio externo;0,650189;4;0,75;1;0,75;0,5;0,25;Mata Atlântica
0000.29.0321;105200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Realizar a fiscalização;PLANO DE AÇÃO;Muito apoio externo;0,350139;14;0,25;0,25;0,75;0,25;0,25;Mata Atlântica
0000.29.0321;106200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Implantar o manejo de espécies ou habitats;PLANO DE AÇÃO;Muito apoio externo;0,550149;9;0,75;1;0,75;0;0,25;Mata Atlântica
0000.29.0321;107200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Planejar e Ordenar o Uso Público;PLANO DE AÇÃO;Muito apoio externo;0,450135;12;0,5;0,75;0,75;0;0,25;Mata Atlântica
0000.29.0321;108200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Gerir atividades de pesquisa e gestão do conhecimento;SEM INSTRUMENTO;Muito apoio externo;0,200156;15;0,25;0,25;0,25;0;0,25;Mata Atlântica
0000.29.0321;109200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Apoiar a inclusão social e produtiva por meio de políticas públicas;PLANO DE AÇÃO;Muito apoio externo;0,450202;10;0,25;0,75;0,5;0,5;0,25;Mata Atlântica
0000.29.0321;110200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Elaborar Plano de Manejo;PLANO DE AÇÃO;Moderado apoio externo;0,450125;13;0,25;0,25;0,25;1;0,5;Mata Atlântica
0000.29.0321;111200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Planejar ações de manejo de espécies ou habitats;LEGISLAÇÃO - AMPARO LEGAL;Total apoio externo;0,000199;16;0;0;0;0;0;Mata Atlântica
0000.29.0321;112200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Avaliar a gestão da unidade de conservação;LEGISLAÇÃO - AMPARO LEGAL;Total apoio externo;0,750129;3;0,75;1;1;1;0;Mata Atlântica
0000.29.0321;113200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Manter a rotina administrativa;LEGISLAÇÃO - AMPARO LEGAL;Total apoio externo;0,000189;17;0;0;0;0;0;Mata Atlântica
0000.29.0321;114200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Implantar o Conselho Gestor;LEGISLAÇÃO - AMPARO LEGAL;Muito apoio externo;0,600224;6;0,25;0,75;0,75;1;0,25;Mata Atlântica
0000.29.0321;115200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Implantar o Conselho Gestor;PLANO DE AÇÃO;Total apoio externo;0,800224;1;1;1;1;1;0;Mata Atlântica
0000.29.0321;116200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Implantar o Programa de Voluntariado;PLANO DE AÇÃO;Total apoio externo;0,450201;11;0;0,75;0,75;0,75;0;Mata Atlântica
0000.29.0321;117200000290321 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Implantar ações de Educação Ambiental;PLANO DE AÇÃO;Total apoio externo;0,550207;8;1;0,75;1;0;0;Mata Atlântica
0000.00.1521;101200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Gerir atividades de pesquisa e gestão do conhecimento;PLANO DE PESQUISA;Muito apoio externo;0,500156;13;0,5;0,5;0,75;0,5;0,25;Mata Atlântica
0000.00.1521;102200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Planejar ações de manejo de espécies ou habitats;PLANO DE AÇÃO;Total apoio externo;0,500199;12;0,75;0,5;0,75;0,5;0;Mata Atlântica
0000.00.1521;103200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Realizar estudos para alteração de limites;OUTRO INSTRUMENTO;Muito apoio externo;0,600128;8;0,5;0,75;0,75;0,75;0,25;Mata Atlântica
0000.00.1521;104200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Gerir atividades de pesquisa e gestão do conhecimento;LEGISLAÇÃO - AMPARO LEGAL;Não foi necessário apoio externo;1,000156;1;1;1;1;1;0;Mata Atlântica
0000.00.1521;105200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Manter a rotina administrativa;OUTRO INSTRUMENTO;Total apoio externo;0,100189;17;0;0,5;0;0;0;Mata Atlântica
0000.00.1521;106200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Elaborar e acompanhar parcerias para a gestão da UC;OUTRO INSTRUMENTO;Muito apoio externo;0,600223;6;0,75;0,75;0,75;0,5;0,25;Mata Atlântica
0000.00.1521;107200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Realizar compensação ambiental;LEGISLAÇÃO - AMPARO LEGAL;Total apoio externo;0,550186;10;0,75;0,75;0,75;0,5;0;Mata Atlântica
0000.00.1521;108200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Elaborar Plano de Manejo;PLANO DE MANEJO;Muito apoio externo;0,650125;5;0,75;0,75;0,75;0,75;0,25;Mata Atlântica
0000.00.1521;109200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Realizar ações preparatórias do monitoramento da biodiversidade;PLANO DE AÇÃO;Total apoio externo;0,550198;9;0,75;0,5;0,75;0,75;0;Mata Atlântica
0000.00.1521;110200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Formar o Conselho Gestor;LEGISLAÇÃO - AMPARO LEGAL;Muito apoio externo;0,550162;11;0,5;0,5;0,75;0,75;0,25;Mata Atlântica
0000.00.1521;111200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Implantar o manejo de espécies ou habitats;PLANO DE AÇÃO;Total apoio externo;0,400149;16;0,5;0,5;0,5;0,5;0;Mata Atlântica
0000.00.1521;112200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Contextualizar a Interface Territorial;LEGISLAÇÃO - AMPARO LEGAL;Moderado apoio externo;0,600158;7;0,5;0,75;0,5;0,75;0,5;Mata Atlântica
0000.00.1521;113200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Manter a rotina administrativa;OUTRO INSTRUMENTO;Muito apoio externo;0,450189;14;0,25;0,5;0,75;0,5;0,25;Mata Atlântica
0000.00.1521;114200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Avaliar impactos ambientais em processo de licenciamento ambiental;LEGISLAÇÃO - AMPARO LEGAL;Pouco apoio externo;0,750151;4;0,75;0,75;0,75;0,75;0,75;Mata Atlântica
0000.00.1521;115200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Realizar a fiscalização;PLANO DE FISCALIZAÇÃO;Muito apoio externo;0,450139;15;0,5;0,5;0,5;0,5;0,25;Mata Atlântica
0000.00.1521;116200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Avaliar impactos ambientais em processo de licenciamento ambiental;LEGISLAÇÃO - AMPARO LEGAL;Moderado apoio externo;0,750151;3;0,75;0,75;0,75;1;0,5;Mata Atlântica
0000.00.1521;117200000001521 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;Emitir Autorização Direta;LEGISLAÇÃO - AMPARO LEGAL;Pouco apoio externo;0,800153;2;0,75;1;0,75;0,75;0,75;Mata Atlântica
0000.29.0305;101200000290305 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO;Realizar compensação ambiental;SEM INSTRUMENTO;Muito apoio externo;0,600186;4;0,25;0,75;0,75;1;0,25;Cerrado
0000.29.0305;102200000290305 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO;Elaborar Plano de Manejo;OUTRO INSTRUMENTO;Muito apoio externo;0,850125;1;1;1;1;1;0,25;Cerrado
0000.29.0305;103200000290305 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO;Implantar o Conselho Gestor;PLANO DE AÇÃO;Não foi necessário apoio externo;0,800224;2;0,5;0,75;0,75;1;0;Cerrado
0000.29.0305;104200000290305 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO;Manter a rotina administrativa;SEM INSTRUMENTO;Moderado apoio externo;0,500189;5;0,25;0,75;0,75;0,25;0,5;Cerrado
0000.29.0305;105200000290305 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO;Avaliar a gestão da unidade de conservação;LEGISLAÇÃO - AMPARO LEGAL;Muito apoio externo;0,800129;3;1;1;0,75;1;0,25;Cerrado
0000.29.0305;106200000290305 ;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO;Realizar a fiscalização;SEM INSTRUMENTO;Muito apoio externo;0,450139;6;0,25;0,5;0,5;0,75;0,25;Cerrado
0000.29.0328;101200000290328 ;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU;Realizar a fiscalização;NÃO PLANEJADA;Total apoio externo;0,350139;1;0,25;0,75;0,75;0;0;Mata Atlântica
0000.29.0320;101200000290320 ;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS;Organizar e participar em eventos;PLANO DE AÇÃO;Muito apoio externo;0,850219;6;1;1;1;1;0,25;Mata Atlântica
0000.29.0320;102200000290320 ;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS;Formar o Conselho Gestor;PLANO DE AÇÃO;Não foi necessário apoio externo;1,000162;3;1;1;1;1;0;Mata Atlântica
0000.29.0320;103200000290320 ;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS;Elaborar Plano de Manejo;LEGISLAÇÃO - AMPARO LEGAL;Não foi necessário apoio externo;1,000125;5;1;1;1;1;0;Mata Atlântica
0000.29.0320;104200000290320 ;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS;Gerir atividades de pesquisa e gestão do conhecimento;PLANO DE AÇÃO;Não foi necessário apoio externo;0,850156;7;1;1;1;0,25;0;Mata Atlântica
0000.29.0320;105200000290320 ;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS;Elaborar Programa/Plano de Educação Ambiental;PLANO DE AÇÃO;Não foi necessário apoio externo;1,00016;4;1;1;1;1;0;Mata Atlântica
0000.29.0320;106200000290320 ;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS;Elaborar e acompanhar parcerias para a gestão da UC;PLANO DE AÇÃO;Não foi necessário apoio externo;1,000223;2;1;1;1;1;0;Mata Atlântica
0000.29.0320;107200000290320 ;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS;Elaborar e acompanhar parcerias para a gestão da UC;PLANO DE AÇÃO;Não foi necessário apoio externo;1,000223;1;1;1;1;1;0;Mata Atlântica
0000.29.0320;108200000290320 ;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS;Planejar e Ordenar o Uso Público;PLANO DE AÇÃO;Muito apoio externo;0,700135;8;0,75;0,75;1;0,75;0,25;Mata Atlântica
0000.00.0007;101200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Gerir atividades de pesquisa e gestão do conhecimento;PLANO DE MANEJO;Moderado apoio externo;0,450156;5;0,5;0,5;0,75;0;0,5;Mata Atlântica
0000.00.0007;102200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Realizar a fiscalização;PLANO DE FISCALIZAÇÃO;Muito apoio externo;0,450139;7;0,25;0,75;0,5;0,5;0,25;Mata Atlântica
0000.00.0007;103200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Garantir recursos humanos para realização das atividades;PLANO DE MANEJO;Total apoio externo;0,20021;13;0,5;0,25;0,25;0;0;Mata Atlântica
0000.00.0007;104200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Elaborar Programa/Plano de Educação Ambiental;PLANO DE MANEJO;Total apoio externo;0,35016;12;0,25;0,5;0,75;0,25;0;Mata Atlântica
0000.00.0007;105200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Planejar e Ordenar o Uso Público;PLANO DE MANEJO;Muito apoio externo;0,400135;9;0,25;0,5;0,75;0,25;0,25;Mata Atlântica
0000.00.0007;106200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Elaborar plano de comunicação;SEM INSTRUMENTO;Moderado apoio externo;0,350187;11;0,25;0,25;0,5;0,25;0,5;Mata Atlântica
0000.00.0007;107200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Realizar o monitoramento da biodiversidade;PLANO DE MANEJO;Muito apoio externo;0,400154;8;0,25;0,5;0,5;0,5;0,25;Mata Atlântica
0000.00.0007;108200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Avaliar e monitorar o Conselho Gestor;PLANO DE MANEJO;Muito apoio externo;0,5002;2;0,25;0,75;0,75;0,5;0,25;Mata Atlântica
0000.00.0007;109200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Garantir infraestrutura para realização das atividades;PLANO DE MANEJO;Muito apoio externo;0,350209;10;0,25;0,25;0,75;0,25;0,25;Mata Atlântica
0000.00.0007;110200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Avaliar impactos ambientais em processo de licenciamento ambiental;OUTRO INSTRUMENTO;Não foi necessário apoio externo;0,500151;3;0,25;0,25;0,5;0,5;0;Mata Atlântica
0000.00.0007;111200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Implantar o manejo de espécies ou habitats;PLANO DE MANEJO;Muito apoio externo;0,450149;6;0,5;0,5;0,5;0,5;0,25;Mata Atlântica
0000.00.0007;112200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Avaliar impactos ambientais em processo de licenciamento ambiental;TERMO DE COMPROMISSO - ACORDO DE GESTÃO;Não foi necessário apoio externo;0,500151;4;0,25;0,25;0,75;0,25;0;Mata Atlântica
0000.00.0007;113200000000007 ;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Emitir Autorização Direta;PLANO DE MANEJO;Não foi necessário apoio externo;0,600153;1;0,25;0,5;1;0,25;0;Mata Atlântica
0000.29.0301;101200000290301 ;ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA;Formar o Conselho Gestor;OUTRO INSTRUMENTO;Não foi necessário apoio externo;0,200162;1;0;0;0;0;0;Mata Atlântica
0000.29.0301;102200000290301 ;ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA;Elaborar Plano de Manejo;PLANO DE MANEJO;Total apoio externo;0,000125;2;0;0;0;0;0;Mata Atlântica
0000.29.0310;101200000290310 ;ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO;Revisar o Plano de Manejo;PLANO DE MANEJO;Moderado apoio externo;0,450126;4;0,5;0,5;0,75;0;0,5;Mata Atlântica
0000.29.0310;102200000290310 ;ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO;Avaliar e monitorar o Conselho Gestor;PLANO DE AÇÃO;Muito apoio externo;0,8002;1;0,75;1;1;1;0,25;Mata Atlântica
0000.29.0310;103200000290310 ;ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO;Realizar a fiscalização;SEM INSTRUMENTO;Muito apoio externo;0,650139;3;0,5;0,75;1;0,75;0,25;Mata Atlântica
0000.29.0310;104200000290310 ;ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO;Elaborar o planejamento Tático/Operacional;PLANO DE AÇÃO;Total apoio externo;0,750197;2;0,75;1;1;1;0;Mata Atlântica
